Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
30-09-2025,07:18,29-09-2025,META PLATFORMS INC CLASS A,US30303M1027,Retención del dividendo,,USD,"-0,08",USD,"0,45",
30-09-2025,07:18,29-09-2025,META PLATFORMS INC CLASS A,US30303M1027,Dividendo,,USD,"0,53",USD,"0,53",
26-09-2025,07:51,26-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,75",EUR,"90,48",
26-09-2025,07:51,26-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,75 EUR",,,,EUR,"92,23",
26-09-2025,06:42,25-09-2025,,,Ingreso Cambio de Divisa,,EUR,"1,75",EUR,"90,48",
26-09-2025,06:42,25-09-2025,,,Retirada Cambio de Divisa,"1,1695",USD,"-2,05",USD,"0,00",
25-09-2025,07:40,24-09-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividendo,,USD,"2,05",USD,"2,05",
18-08-2025,05:30,18-08-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"88,73",
18-08-2025,05:30,18-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"0,38",EUR,"89,11",
18-08-2025,05:21,18-08-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"88,73",
18-08-2025,05:21,18-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,38",EUR,"88,35",
18-08-2025,04:00,18-08-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"88,73",
18-08-2025,04:00,18-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,38",EUR,"88,35",
16-08-2025,06:39,15-08-2025,,,Ingreso Cambio de Divisa,,EUR,"0,38",EUR,"88,73",
16-08-2025,06:39,15-08-2025,,,Retirada Cambio de Divisa,"1,1732",USD,"-0,44",USD,"0,00",
15-08-2025,07:37,14-08-2025,APPLE INC,US0378331005,Dividendo,,USD,"0,52",USD,"0,44",
15-08-2025,07:37,14-08-2025,APPLE INC,US0378331005,Retención del dividendo,,USD,"-0,08",USD,"-0,08",
04-07-2025,07:21,30-06-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"88,35",
01-07-2025,08:31,01-07-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,43 EUR",,,,EUR,"88,35",
01-07-2025,08:31,01-07-2025,,,Degiro Cash Sweep Transfer,,EUR,"-2,43",EUR,"85,92",
